run_id,run_kind,series_id,sensor,edz_band_cm,row_count,compared_rows,diagnostic_statuses,date_min,date_max,compared_date_min,compared_date_max,mean_abs_time_delta_days,model_taupe_standardized_pearson,delta_sign_agreement_fraction,standardized_residual_mean,standardized_residual_mae,standardized_residual_rmse,taupe_standardized_min,taupe_standardized_max,model_standardized_min,model_standardized_max,model_theta_min,model_theta_max,model_theta_baseline,model_theta_robust_scale
production_sampler_round5_004_length_0p009m_shift_0p913,production_sampler_round,A8_0-10cm,A8,0-10,212,0,operator_not_mapped_for_current_mesh=212,2019-12-01,2025-10-10,,,,,,,,,,,,,,,,
production_sampler_round5_004_length_0p009m_shift_0p913,production_sampler_round,A8_0-50cm,A8,0-50,212,0,operator_not_mapped_for_current_mesh=212,2019-12-01,2025-10-10,,,,,,,,,,,,,,,,
production_sampler_round5_004_length_0p009m_shift_0p913,production_sampler_round,A8_10-20cm,A8,10-20,212,0,operator_not_mapped_for_current_mesh=212,2019-12-01,2025-10-10,,,,,,,,,,,,,,,,
production_sampler_round5_004_length_0p009m_shift_0p913,production_sampler_round,A8_20-30cm,A8,20-30,212,0,operator_not_mapped_for_current_mesh=212,2019-12-01,2025-10-10,,,,,,,,,,,,,,,,
production_sampler_round5_004_length_0p009m_shift_0p913,production_sampler_round,A8_30-40cm,A8,30-40,212,0,operator_not_mapped_for_current_mesh=212,2019-12-01,2025-10-10,,,,,,,,,,,,,,,,
production_sampler_round5_004_length_0p009m_shift_0p913,production_sampler_round,A8_40-50cm,A8,40-50,212,0,operator_not_mapped_for_current_mesh=212,2019-12-01,2025-10-10,,,,,,,,,,,,,,,,
production_sampler_round5_005_length_0p004m_shift_1p031,production_sampler_round,A3_0-10cm,A3,0-10,212,155,outside_time_tolerance=57; trend_compared=155,2019-12-01,2025-10-10,2019-12-01,2024-03-10,5.0613201911589005,-0.1400651360998863,0.4451612903225806,2.9231883807935954,2.937464795206718,3.356938177002142,-6.005866924144911,1.2894643411186026,-0.6792641217598281,3.9118402419353577,0.0562818783454129,0.0932060088638115,0.0617448857400299,0.0080425378282361
production_sampler_round5_005_length_0p004m_shift_1p031,production_sampler_round,A3_0-50cm,A3,0-50,212,155,outside_time_tolerance=57; trend_compared=155,2019-12-01,2025-10-10,2019-12-01,2024-03-10,5.0613201911589005,-0.1832880081289373,0.8516129032258064,0.5934553134713371,1.2305366478993325,1.7066551033362525,-3.7850321816080488,1.4555481803622266,-2.738870887399618,2.313813945084694,0.0757045469472056,0.0941810348179117,0.0857199578442252,0.0036567663496283
production_sampler_round5_005_length_0p004m_shift_1p031,production_sampler_round,A3_10-20cm,A3,10-20,212,155,outside_time_tolerance=57; trend_compared=155,2019-12-01,2025-10-10,2019-12-01,2024-03-10,5.0613201911589005,0.5502265015974914,0.9612903225806452,-0.9173033219487168,1.2063849110838647,1.3365811179493468,-3.253046457706223,0.851858982208852,-4.129909214133749,0.2770371267525339,0.0774652204805138,0.0935936762152477,0.0925797811754439,0.0036597803756081
production_sampler_round5_005_length_0p004m_shift_1p031,production_sampler_round,A3_20-30cm,A3,20-30,212,155,outside_time_tolerance=57; trend_compared=155,2019-12-01,2025-10-10,2019-12-01,2024-03-10,5.0613201911589005,0.5521589638370208,1.0,-1.0525817236239994,1.207967846150926,1.3655049814284286,-3.0538072782283905,0.4814115268844356,-3.8432744467033513,0.2191796846442767,0.0824703410380689,0.0975515509536364,0.0967378815000316,0.0037123397404525
